id,C,n_estimators,learning_rate_hist,learning_rate_cat,max_leaf_nodes,keep_percentage,latitude_oof,longitude_oof,oof
72.0,12.4,1661.0,0.7,0.09,8.0,0.55,0.4436,0.527,0.4853
73.0,14.15,804.0,0.99,0.09,26.0,0.54,0.4477,0.5293,0.4885
74.0,16.27,258.0,0.76,0.99,26.0,0.97,0.4505,0.535,0.4928
75.0,15.57,1035.0,0.91,0.43,10.0,0.78,0.4473,0.531,0.4891
76.0,0.33,1333.0,0.13,0.07,11.0,0.73,0.4422,0.5258,0.484
77.0,14.95,1750.0,0.38,0.96,21.0,0.79,0.4553,0.5414,0.4984
78.0,4.55,1793.0,0.97,0.02,6.0,0.98,0.4414,0.5249,0.4831
79.0,10.6,1093.0,0.56,0.08,62.0,1.0,0.4454,0.5279,0.4867
80.0,12.63,1812.0,0.63,0.46,39.0,0.85,0.4517,0.5352,0.4934
81.0,1.0,1278.0,0.89,0.95,31.0,0.64,0.4574,0.5427,0.5001
82.0,5.62,247.0,0.36,0.47,39.0,0.59,0.4461,0.5284,0.4872
83.0,19.49,1646.0,0.54,0.7,22.0,0.99,0.4507,0.5365,0.4936
84.0,13.73,1478.0,0.82,0.91,60.0,0.58,0.4582,0.5458,0.502
85.0,12.31,150.0,0.87,0.93,6.0,0.71,0.4459,0.5307,0.4883
86.0,7.59,823.0,0.16,0.99,39.0,0.91,0.4516,0.5389,0.4953
87.0,19.4,619.0,0.47,0.84,28.0,0.92,0.4509,0.5352,0.4931
88.0,1.22,1155.0,1.0,0.81,63.0,0.93,0.4578,0.5456,0.5017
89.0,15.4,345.0,0.25,0.85,31.0,0.97,0.4484,0.5318,0.4901
90.0,19.09,780.0,0.67,0.24,41.0,0.8,0.44799999999999995,0.5307,0.4893
91.0,2.36,1719.0,0.77,0.53,35.0,0.84,0.4509,0.5361,0.4935
92.0,11.08,154.0,0.41,0.88,12.0,0.78,0.4461,0.53,0.4881
93.0,15.13,127.0,0.22,0.71,12.0,0.81,0.4447,0.5281,0.4864
94.0,7.08,761.0,0.44,0.4,58.0,0.79,0.4478,0.532,0.4899
95.0,10.33,1904.0,0.63,0.4,55.0,0.89,0.4498,0.5352,0.4925
96.0,3.03,1962.0,0.27,0.5,31.0,0.96,0.4486,0.5336,0.4911
97.0,9.9,344.0,0.25,0.64,8.0,0.66,0.4462,0.5307,0.4885
98.0,2.65,756.0,0.64,0.15,14.0,0.58,0.4447,0.527,0.4859
99.0,17.95,177.0,0.18,0.67,15.0,0.74,0.4446,0.5295,0.487
100.0,3.46,975.0,0.1,0.19,11.0,0.64,0.4438,0.5273,0.4855
101.0,4.21,1618.0,0.69,0.51,6.0,0.68,0.4475,0.5332,0.4904
102.0,12.6,626.0,0.92,0.87,7.0,0.54,0.4486,0.5368,0.4927
103.0,16.14,1020.0,0.22,0.19,26.0,0.87,0.4447,0.528,0.4864
104.0,12.4,579.0,0.75,0.47,6.0,0.68,0.4461,0.5296,0.4879
105.0,14.3,950.0,0.54,0.52,10.0,0.95,0.4472,0.53,0.4886
106.0,10.7,711.0,0.38,0.28,5.0,0.62,0.4444,0.5279,0.4862
107.0,4.31,1390.0,0.89,0.13,39.0,0.66,0.4491,0.5329999999999999,0.4911
108.0,15.8,1516.0,0.54,0.1,39.0,0.75,0.4457,0.5287,0.4872
109.0,8.69,1184.0,0.37,0.29,42.0,0.56,0.4473,0.5313,0.4893
110.0,7.19,390.0,0.24,0.61,10.0,0.99,0.4452,0.5301,0.4877
111.0,4.99,1803.0,0.29,0.19,14.0,0.58,0.4447,0.5289,0.4868
112.0,1.7,855.0,0.98,0.42,10.0,0.76,0.4477,0.5306,0.4891
113.0,19.39,1370.0,0.27,0.82,14.0,0.93,0.4511,0.5373,0.4942
114.0,18.59,455.0,0.29,0.58,50.0,0.78,0.4489,0.5324,0.4906
115.0,6.54,1260.0,0.25,0.51,10.0,0.71,0.4469,0.5328,0.4898
116.0,5.84,198.0,0.49,0.16,35.0,0.79,0.4442,0.5264,0.4853
117.0,6.8,1638.0,0.99,0.07,23.0,0.57,0.4478,0.5299,0.4889
118.0,5.17,882.0,0.6,0.76,32.0,0.84,0.4523,0.535,0.4936
119.0,7.04,1488.0,0.97,0.83,11.0,0.96,0.4534,0.5359,0.4947
